Country	Population	Christian	Muslim	Irreligion	Hindu	Buddhist	Folk religion	Other religion	Jewish
Somalia	9,330,000	100	9,311,340	0	0	0	0	0	0
South Sudan	9,950,000	6,019,750	2,464,692	49,75	0	0	3,273,550	0	0
Tanzania	44,840,000	27,531,760	15,783,680	627,76	44,84	0	807,12	30	0
Uganda	33,420,000	28,975,140	3,843,300	167,1	100,26	0	300,78	33,42	0
Zambia	13,090,000	12,775,840	170	65,45	13,09	0	39,27	117,81	0
Zimbabwe	12,570,000	10,935,900	120	993,03	0	0	477,66	37,71	10
Eastern Africa	333,970,000	238,006,180	73,510,760	9,371,310	982,04	1,7	11,288,190	760,09	11,78
Sub-Saharan Africa	822,714,000	517,410,250	248,172,500	26,513,072	1,570,690	111,96	26,749,540	1,815,728	61,91
Algeria	43,851,044	400	43,000,000	0	0	0	10	0	140
Egypt	81,120,000	9,486,120	76,982,880	0	0	0	0	0	1
Libya	6,360,000	171,72	6,143,760	12,72	0	19,08	0	0	0
Morocco	31,950,000	20	31,918,050	0	0	0	0	3,2	2,2
Sudan	33,600,000	1,814,400	30,475,200	336	0	0	940,8	0	0
Tunisia	10,480,000	20,96	10,427,600	20,96	0	0	0	0	1,1
North Africa	199,510,000	6,236,200	191,199,440	1,010,260	0	19,08	950,8	0	0
Middle East and North Africa	341,020,000	12,752,770	317,058,950	2,036,990	1,700,260	492,13	1,047,990	220,71	5,617,080
Botswana	2,010,000	1,449,210	8,04	414,06	6,03	0	120,6	12,06	0
Eswatini	1,190,000	1,048,390	2,4	120,19	1,19	0	11,9	4,76	0
Lesotho	2,170,000	2,100,560	3	67,27	0	0	2,17	0	0
Namibia	2,280,000	2,223,000	6,84	43,32	0	0	4,56	0	0
South Africa	50,130,000	40,705,560	1,200,000	613,624	753,524	100,26	200,52	150,39	50,13
Southern Africa	57,780,000	47,526,720	869,47	8,114,210	558,65	100,26	339,75	167,21	50,13
Sub-Saharan Africa	822,714,000	517,410,250	248,172,500	26,513,072	1,570,690	111,96	26,749,540	1,815,728	61,91
Western Africa	304,264,000	123,748,360	162,347,970	5,034,372	0	10	12,789,880	219,438	0
Sub-Saharan Africa	822,714,000	517,410,250	248,172,500	26,513,072	1,570,690	111,96	26,749,540	1,815,728	61,91
Anguilla	20	18,12	60	800	80	0	580	320	20
Antigua and Barbuda	90	83,7	540	1,53	180	0	3,24	900	0
Aruba	110	101,09	300	6,6	0	110	1,43	110	440
Bahamas	340	326,4	340	10,54	0	0	1,02	1,02	0
